statename,year,month,spend apparel and accessories,spend accommodation and food services,"spend arts, entertainment, and recreation",spend all,spend general merchandise + apparel,spend durable goods,spend general merchandise,spend grocery and food stores,spend health care and social assistance,spend home improvement centers,spend other in-person services,spend non-durable goods,spend remote services,spend transportation and warehousing,spend all_incmiddle,spend all q1,spend all q2,spend all q3,spend all q4,spend in-person services,spend retail excluding grocery,spend retail including grocery,day_endofweek,emp all,emp q1,emp q2,emp q3,emp q4,emp inc middle,emp inc below_median,emp inc above median,emp trade_transport utilities,emp professional business_services,emp education health services,emp leisure hospitality,case_rate,death_rate,test_rate,vaccine_rate,fullvaccine_rate,booster_first_rate,hospitalized_rate,day,time retail and recreation,time grocery and pharmacy,time parks,time transit stations,time workplaces,time residential,time away from home,spend recovered,emp recovered
Alabama,2020,1,0.0,-1.91e-09,0.0,0.0,-2.88e-08,3.28e-08,0.0,0.0,3.87e-08,0.0,0.0,8.6e-08,-6.63e-09,0.0,8.1e-08,0.0,0.0,0.0,0.0,-3.68e-08,-4.44e-08,4.36e-08,31.0,-0.00474,-0.017,0.00717,-0.00084,-0.00768,0.00311,-0.00574,-0.00343,-0.0355,-0.00263,0.0107,-0.0168,,,,,,,,,,,,,,,,True,False
Alabama,2020,2,-0.0438,0.0216,0.0643,0.0278,0.0202,0.0125,0.0782,0.0935,-0.0131,0.0341,-0.0368,0.0249,0.045,-0.0412,0.00873,0.0514,-0.0106,0.0348,0.0408,0.000219,0.0234,0.0501,28.0,0.0151,0.00845,0.011,0.0294,0.0104,0.0203,0.00962,0.0222,0.0163,-0.00342,0.0505,-0.02,,,,,,,,29.0,0.09,0.0414,0.191,0.107,0.01,-0.00571,0.00855,True,True
Alabama,2020,3,-0.351,-0.38,-0.373,-0.0898,-0.146,-0.0385,0.0646,0.374,-0.161,0.0591,-0.177,0.0183,-0.0287,-0.46,-0.105,-0.0571,-0.109,-0.0996,-0.108,-0.328,-0.0841,0.08,27.0,-0.0935,-0.198,-0.0709,-0.0317,-0.0386,-0.051,-0.139,-0.0343,-0.142,-0.0553,-0.0833,-0.319,3.8488947368421056,0.01715842105263158,,,,,0.101591,31.0,-0.334,-0.0643,0.18,-0.234,-0.344,0.131,-0.159,False,False
Alabama,2020,4,-0.535,-0.606,-0.652,-0.229,-0.319,0.0153,-0.0916,0.165,-0.577,0.23,-0.466,-0.17,-0.121,-0.644,-0.262,-0.163,-0.27,-0.252,-0.262,-0.584,-0.145,-0.0338,24.0,-0.215,-0.413,-0.186,-0.108,-0.0735,-0.147,-0.307,-0.0952,-0.27,-0.171,-0.236,-0.541,72.97,2.2575333333333334,,,,,7.704,30.0,-0.24,-0.03,0.143,-0.23,-0.347,0.121,-0.148,False,False
Alabama,2020,5,-0.182,-0.382,-0.472,-0.101,-0.0727,0.172,0.0279,0.15,-0.245,0.384,-0.199,-0.0533,-0.0508,-0.616,-0.133,-0.0346,-0.155,-0.103,-0.14,-0.368,0.116,0.129,29.0,-0.172,-0.3,-0.131,-0.132,-0.0678,-0.131,-0.221,-0.107,-0.204,-0.283,-0.122,-0.246,224.38709677419354,8.786129032258065,,,,,8.569677419354838,31.0,-0.0914,0.0314,0.373,-0.0371,-0.236,0.0829,-0.0943,False,False
Alabama,2020,6,-0.025,-0.304,-0.302,-0.0256,0.0304,0.203,0.0799,0.0782,-0.0256,0.254,-0.0131,0.0165,0.0331,-0.555,-0.0652,0.0563,-0.0819,-0.0427,-0.0769,-0.255,0.169,0.135,26.0,-0.154,-0.265,-0.0689,-0.152,-0.0895,-0.111,-0.174,-0.128,-0.178,-0.282,-0.11,-0.191,504.96666666666664,15.463333333333333,,,,,16.526666666666667,30.0,-0.0657,0.0171,0.429,0.05,-0.234,0.0714,-0.0821,False,False
Alabama,2020,7,-0.0983,-0.27,-0.326,0.00473,0.0177,0.187,0.128,0.113,-0.00603,0.281,-0.0751,0.0347,0.0572,-0.543,-0.0354,0.0637,-0.0674,0.00837,-0.00559,-0.239,0.151,0.137,31.0,-0.163,-0.267,-0.0627,-0.171,-0.118,-0.118,-0.172,-0.151,-0.224,-0.299,-0.11,-0.162,1166.5483870967741,24.080645161290324,,,,,32.906451612903226,31.0,-0.0914,-0.00286,0.377,0.00714,-0.259,0.0729,-0.085,True,False
Alabama,2020,8,-0.164,-0.199,-0.307,-0.00133,-0.00486,0.16,0.153,0.112,-0.0673,0.326,-0.083,0.0344,0.0037,-0.545,-0.076,0.0989,-0.12,-0.0143,0.0165,-0.209,0.136,0.127,28.0,-0.152,-0.256,-0.0616,-0.155,-0.103,-0.109,-0.165,-0.135,-0.219,-0.299,-0.0951,-0.145,2130.1612903225805,37.5516129032258,,,,,35.29354838709677,31.0,-0.131,-0.0571,0.17,-0.0786,-0.23,0.0629,-0.0742,False,False
Alabama,2020,9,-0.212,-0.169,-0.297,0.0116,-0.0433,0.18,0.131,0.129,0.0187,0.465,-0.0711,-0.00544,0.0723,-0.477,-0.0595,0.104,-0.12,0.026,0.0418,-0.174,0.122,0.125,25.0,-0.144,-0.249,-0.0516,-0.145,-0.0968,-0.0988,-0.157,-0.127,-0.236,-0.278,-0.0723,-0.161,2814.266666666667,47.806666666666665,,,,,20.986666666666668,30.0,-0.126,-0.0671,0.133,-0.08,-0.201,0.05,-0.0584,True,False
Alabama,2020,10,-0.227,-0.163,-0.297,-0.0164,-0.0552,0.165,0.128,0.103,-0.0781,0.383,-0.1,-0.0375,0.0331,-0.486,-0.0845,0.0441,-0.136,-0.0113,0.0446,-0.192,0.102,0.103,30.0,-0.124,-0.231,-0.0357,-0.125,-0.0668,-0.0808,-0.14,-0.103,-0.217,-0.246,-0.0293,-0.199,3436.451612903226,55.15161290322581,,,,,20.73225806451613,31.0,-0.114,-0.0214,0.144,-0.0814,-0.209,0.0371,-0.0413,False,False
